,0
0,-7.84727931404
1,-12.312907488
2,-11.2251965477
3,-0.139011981173
4,-8.71231890915
5,-7.23362076973
6,-10.3280133086
7,-8.4876008963
8,-11.4270997376
9,-6.68810288539
10,-12.3740921396
11,-10.4019190959
12,-8.94036581091
13,-6.03481055857
14,-6.94109461481
15,-10.0956246364
16,-9.31653304262
17,-9.7696206758
18,-9.50477247771
19,-8.08799150856
20,-7.68287127977
21,-9.89739330658
22,-10.0974503178
23,-7.16062734074
24,-10.8871054163
25,-11.7338048538
26,-10.4899090939
27,-0.190970047054
28,-10.4652634046
29,-8.24820281667
30,-9.46188692419
31,-9.46158814521
32,-15.9378785355
33,-8.90367733973
34,-11.9404122523
35,-11.6815340684
36,-11.4254835829
37,-11.7619851114
38,-9.13733799758
39,-9.95420977896
40,-8.71969890329
41,-9.47514123544
42,-8.44064017466
43,-11.6601092092
44,-8.52394881758
45,-8.46906821135
46,-9.85931505444
47,-11.4060594602
48,-8.14247001036
49,-9.93858599387
