,0
0,-0.0481953208672
1,-0.0582029270428
2,-0.0690664141016
3,-0.00292599170969
4,-0.158231200041
5,-0.0578608545766
6,-0.0630297204618
7,-0.029753289487
8,-0.0106741056434
9,-0.06449000308
10,-0.062362304627
11,-0.0188538933609
12,-0.0895798366035
13,-0.209428795225
14,-0.0414877354247
15,-0.0796637723559
16,-0.31729197955
17,-0.233434705022
18,-0.0712837962009
19,-0.0748611978847
20,-0.0194365795287
21,-0.018249770014
22,-0.0810176260538
23,-0.0301755142079
24,-0.078418125374
25,-0.0222960944212
26,-0.138095294628
27,-0.0143483618912
28,-0.353391996428
29,-0.257146971378
30,-0.0776442912064
31,-0.0698150567158
