,0
0,-5.75970892735
1,-7.10279653611
2,-6.70868663518
3,-5.58419362964
4,-6.40883784216
5,-5.48559418122
6,-5.72354891912
7,-5.19877517563
8,-6.81884303359
9,-5.83221356961
10,-4.65329998944
11,-4.92183976913
12,-4.8198821827
13,-5.52079019724
14,-6.06955744962
15,-6.07583824439
16,-6.27893268803
17,-5.19956710895
18,-5.86137178898
19,-4.36987513732
20,-5.00778686737
21,-5.81863851687
22,-5.70722983076
23,-5.79528418418
24,-5.20514808435
25,-5.04899938977
26,-5.4800357323
27,-3.08790215666
28,-4.63631861481
29,-5.05571687104
30,-5.36013461286
31,-5.33390333168
32,-5.99688241324
33,-5.33133755178
34,-5.47282344608
35,-5.67247551267
36,-5.74746917192
37,-4.21844072778
38,-6.02219967638
39,-6.00885895788
40,-6.23346913443
41,-6.1900464981
42,-4.43140924749
43,-4.86616156663
44,-4.93528105111
45,-5.1846918726
46,-6.13564300551
47,-5.14441773915
48,-6.00150585015
49,-5.98193623544
